cnpj,cnpj_basico,identificador_matriz_filial,situacao_cadastral,data_situacao_cadastral,data_de_inicio_atividade,cnae_fiscal_principal,uf,município,natureza_juridica,capital_social_da_empresa,porte_da_empresa,descricao,denominacoes
48884795000174,48884795,MATRIZ,ATIVA,2023-08-07,19770712,5611203,SP,7107,2062,"20000,00",MICRO EMPRESA,"Lanchonetes, casas de chá, de sucos e similares",ALOJAMENTO E ALIMENTAÇÃO
45059060000118,45059060,MATRIZ,ATIVA,2023-01-19,19740130,4930202,SP,7071,2062,"9980000,00",DEMAIS,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",ALOJAMENTO E ALIMENTAÇÃO
46760351000100,46760351,MATRIZ,ATIVA,2023-01-24,19750603,9420100,SP,7053,3131,"0,00",DEMAIS,Atividades de organizações sindicais,ALOJAMENTO E ALIMENTAÇÃO
41717661000381,41717661,FILIAL,ATIVA,2023-02-13,20090528,4639701,SP,7107,2062,"1360000,00",DEMAIS,Comércio atacadista de produtos alimentícios em geral,ALOJAMENTO E ALIMENTAÇÃO
43066125000127,43066125,MATRIZ,ATIVA,2023-12-29,19800227,6810202,SP,7107,2240,"1000,00",DEMAIS,Aluguel de imóveis próprios,ALOJAMENTO E ALIMENTAÇÃO
50138429000118,50138429,MATRIZ,ATIVA,2023-12-19,19790305,8690901,SP,6689,3999,"0,00",DEMAIS,Atividades de práticas integrativas e complementares em saúde humana,ALOJAMENTO E ALIMENTAÇÃO
49091929000162,49091929,MATRIZ,ATIVA,2023-01-09,19820219,4120400,SP,7107,2062,"0,00",MICRO EMPRESA,Construção de edifícios,ALOJAMENTO E ALIMENTAÇÃO
45805116000136,45805116,MATRIZ,ATIVA,2024-01-06,19810521,5611201,SP,7107,2062,"0,00",MICRO EMPRESA,Restaurantes e similares,ALOJAMENTO E ALIMENTAÇÃO
46905345000195,46905345,MATRIZ,ATIVA,2023-11-29,19810909,4929902,SP,6529,2062,"220000,00",DEMAIS,"Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional",ALOJAMENTO E ALIMENTAÇÃO
42580092002977,42580092,FILIAL,ATIVA,2023-07-25,20140131,4530701,SP,7107,2054,"549108006,25",DEMAIS,Comércio por atacado de peças e acessórios novos para veículos automotores,ALOJAMENTO E ALIMENTAÇÃO
51773539000114,51773539,MATRIZ,ATIVA,2023-04-05,19791207,6462000,SP,7107,2240,"10000,00",DEMAIS,Holdings de instituições não-financeiras,ALOJAMENTO E ALIMENTAÇÃO
43109891000202,43109891,FILIAL,ATIVA,2023-03-21,20120131,4110700,SP,7115,2062,"7570000,00",DEMAIS,Incorporação de empreendimentos imobiliários,ALOJAMENTO E ALIMENTAÇÃO
50355205000168,50355205,MATRIZ,ATIVA,2024-01-06,19791031,8888888,SP,6549,2135,"0,00",MICRO EMPRESA,Atividade Econônica não informada,ALOJAMENTO E ALIMENTAÇÃO
